Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Cellular hierarchy framework based on single-cell multi-patient sample sequencing reveals metabolic biomarker PYGL as a therapeutic target for HNSCC.txt', 'Novel therapies for resistant focal segmental glomerulosclerosis (FONT) phase II clinical trial  study design.txt',1-Dioxide Carbonic Anhydrase Inhibitors Suppress the Growth of Drug-Resistant Mycobacterium tuberculosis Strains.txt'
 'Furanocoumarin Notopterol  Inhibition of Hepatocellular Carcinogenesis through Suppression of Cancer Stemness Signaling and Induction of Oxidative Stress-Associated Cell Death.txt', 'Pre-clinical studies of epigenetic therapies targeting histone modifiers in lung cancer.txt', 'Naturally occurring plant-based anticancerous candidates as prospective ABCG2 inhibitors  an in silico drug discovery study.txt'
 'Disrupting glutamine metabolic pathways to sensitize gemcitabine-resistant pancreatic cancer.txt', 'Higher Dosing of Rifamycins Does Not Increase Activity against Mycobacterium tuberculosis in the Hollow-Fiber Infection Model.txt', 'Combined blockade of Src kinase and epidermal growth factor receptor with gemcitabine overcomes STAT3-mediated resistance of inhibition of pancreatic tumor growth.txt'
 'Nanometronomic treatment of 4T1 breast cancer with nanocaged doxorubicin prevents drug resistance and circumvents cardiotoxicity.txt', 'The inhibitory effect of MSCs expressing TRAIL as a cellular delivery vehicle in combination with cisplatin on hepatocellular carcinoma.txt', 'Unraveling pathologies underlying chromosomal instability in cancers.txt'
 'Combination treatment with flavonoid morin and telomerase inhibitor MST‑312 reduces cancer stem cell traits by targeting STAT3 and telomerase.txt',, 'Recombinant retroviral systems for the analysis of drug resistant HIV.txt'
 'Gambogenic acid alters chemosensitivity of breast cancer cells to Adriamycin.txt',, 'Molecular pathways  vasculogenic mimicry in tumor cells  diagnostic and therapeutic implications.txt'
'Biomarker-Targeted Therapies in Non-Small Cell Lung Cancer  Current Status and Perspectives.txt','Daptomycin antimicrobial activity tested against methicillin-resistant staphylococci and vancomycin-resistant enterococci isolated in European medical centers (2005).txt','Characterization of Plasmodium liver stage inhibition by halofuginone.txt'
 'Targeting PLD2 in adipocytes augments adaptive thermogenesis by improving mitochondrial quality and quantity in mice.txt', 'Efficacy of ampicillin plus ceftriaxone in treatment of experimental endocarditis due to Enterococcus faecalis strains highly resistant to aminoglycosides.txt', 'Insight into glucocorticoid receptor signalling through interactome model analysis.txt'
 'Icariin-Curcumol promotes docetaxel sensitivity in prostate cancer through modulation of the PI3K-Akt signaling pathway and the Warburg effect.txt', 'Newer fluoroquinolones in the treatment of acute exacerbations of COPD.txt', 'Telatinib reverses chemotherapeutic multidrug resistance mediated by ABCG2 efflux transporter in vitro and in vivo.txt'
 'Necroptosis  A Pathogenic Negotiator in Human Diseases.txt', 'Single-dose oral treatment of gonorrhea in men and women, 'The effect of metformin on apoptosis in a breast cancer presurgical trial.txt'
 'Hearing of malaria mosquitoes is modulated by a beta-adrenergic-like octopamine receptor which serves as insecticide target.txt', using ampicillin alone and combined with probenecid.txt', 'ATP7B expression is associated with in vitro sensitivity to cisplatin in non-small cell lung cancer.txt'
 'Targeting KRAS mutant lung cancer  light at the end of the tunnel.txt', 'Chloroquine enhances gefitinib cytotoxicity in gefitinib-resistant nonsmall cell lung cancer cells.txt', 'Enhancement of Drug Sensitivity by Knockdown of HIF-1alpha in Gastric Carcinoma Cells.txt'
, 'Efficacy and safety of polymyxins for the treatment of Acinectobacter baumannii infection  a systematic review and meta-analysis.txt',
'Enzalutamide  targeting the androgen signalling pathway in metastatic castration-resistant prostate cancer.txt','Effects of green tea extract on insulin resistance and glucagon-like peptide 1 in patients with type 2 diabetes and lipid abnormalities  a randomized,'HER Specific TKIs Exert Their Antineoplastic Effects on Breast Cancer Cell Lines through the Involvement of STAT5 and JNK.txt'
 'Bipolar Androgen Therapy Followed by Androgen Receptor Inhibition as Sequential Therapy for Prostate Cancer.txt', double-blinded, 'EGFR C797S mutation mediates resistance to third-generation inhibitors in T790M-positive non-small cell lung cancer.txt'
 'The Role of Compounds Derived from Natural Supplement as Anticancer Agents in Renal Cell Carcinoma  A Review.txt', and placebo-controlled trial.txt', 'Magnolol and Honokiol Inhibited the Function and Expression of BCRP with Mechanism Exploration.txt'
 'Discovery of Novel Allosteric Eg5 Inhibitors Through Structure-Based Virtual Screening.txt', 'Arsenic exposure and outcomes of antimonial treatment in visceral leishmaniasis patients in Bihar, 'Targeting the EMT transcription factor Snail overcomes resistance to osimertinib in EGFR-mutant non-small cell lung cancer.txt'
 'Phylogenetic profiles of all membrane transport proteins of the malaria parasite highlight new drug targets.txt', India  a retrospective cohort study.txt', 'Characterizing and Overriding the Structural Mechanism of the Quizartinib-Resistant FLT3 Gatekeeper F691L Mutation with PLX3397.txt'
 'A newly identified CG301269 improves lipid and glucose metabolism without body weight gain through activation of peroxisome proliferator-activated receptor alpha and gamma.txt', 'Treatment outcomes of retreated patients with isoniazid rifampicin resistant pulmonary tuberculosis.txt',
, 'Rifampin-resistant multidrug-resistant Tuberculosis in Alberta,
, Canada  Epidemiology and treatment outcomes in a low-incidence setting.txt',
, 'Comparison of the effects of salmeterol fluticasone propionate with fluticasone propionate on airway physiology in adults with mild persistent asthma.txt',
'Unveiling Epigenetic Vulnerabilities in Triple-Negative Breast Cancer through 3D Organoid Drug Screening.txt','Reuse of single-dose nevirapine in subsequent pregnancies for the prevention of mother-to-child HIV transmission in Lusaka,'Improved bioactivity of antimicrobial peptides by addition of amino-terminal copper and nickel (ATCUN) binding motifs.txt'
 'Targeting Filarial Abl-like Kinases  Orally Available, Zambia  a cohort study.txt', 'Applied molecular evolution of O6-benzylguanine-resistant DNA alkyltransferases in human hematopoietic cells.txt'
 Food and Drug Administration-Approved Tyrosine Kinase Inhibitors Are Microfilaricidal and Macrofilaricidal.txt', 'Evaluation of Rezafungin Provisional CLSI Clinical Breakpoints and Epidemiological Cutoff Values Tested against a Worldwide Collection of Contemporaneous Invasive Fungal Isolates (2019 to 2020).txt', 'CRKL mediates EML4-ALK signaling and is a potential therapeutic target for ALK-rearranged lung adenocarcinoma.txt'
 'Bone-Targeted Bortezomib Inhibits Bortezomib-Resistant Multiple Myeloma in Mice by Providing Higher Levels of Bortezomib in Bone.txt', 'Vonoprazan-amoxicillin dual regimen with Saccharomyces boulardii as a rescue therapy for Helicobacter pylori  Current perspectives and implications.txt', 'Immune Evasion and Drug Resistance Mediated by USP22 in Cancer  Novel Targets and Mechanisms.txt'
 'Phytomedicines Targeting Cancer Stem Cells  Therapeutic Opportunities and Prospects for Pharmaceutical Development.txt', 'Treatment-induced cell cycle kinetics dictate tumor response to chemotherapy.txt', 'Inactivity of imatinib in gastrointestinal stromal tumors (GISTs) harboring a KIT activation-loop domain mutation (exon 17 mutation pN822K).txt'
 '1, 'Plasma mRNA expression levels of BRCA1 and TS as potential predictive biomarkers for chemotherapy in gastric cancer.txt', 'Neutralization of KIT Oncogenic Signaling in Leukemia with Antibodies Targeting KIT Membrane Proximal Domain 5.txt'
4-dihydroxy quininib activates ferroptosis pathways in metastatic uveal melanoma and reveals a novel prognostic biomarker signature.txt', 'In-vitro activity of antimicrobial agents against Neisseria gonorrhoeae in Brussels.txt',
 'Untangling Triple-Negative Breast Cancer Molecular Peculiarity and Chemo-Resistance  Trailing Towards Marker-Based Targeted Therapies.txt',,
'PDGF PDGFR effects in osteosarcoma and the add-on strategy.txt','Fosfomycin in continuous or prolonged infusion for systemic bacterial infections  a systematic review of its dosing regimen proposal from in vitro,'Crystal structure of human calcineurin complexed with cyclosporin A and human cyclophilin.txt'
 'The effect of adenovirus expressing wild-type p53 on 5-fluorouracil chemosensitivity is related to p53 status in pancreatic cancer cell lines.txt', in vivo and clinical studies.txt', 'Structural basis of metallo-β-lactamase
 'Targeting phosphodiesterase 3B enhances cisplatin sensitivity in human cancer cells.txt', 'Intra- and extracellular activities of trimethoprim-sulfamethoxazole against susceptible and multidrug-resistant Mycobacterium tuberculosis.txt', serine-β-lactamase and penicillin-binding protein inhibition by cyclic boronates.txt'
 'AKT signaling in ERBB2-amplified breast cancer.txt', 'Risk Factors and Outcomes of Ganciclovir-Resistant Cytomegalovirus Infection in Solid Organ Transplant Recipients.txt', 'Identification of Aloe-derived natural products as prospective lead scaffolds for SARS-CoV-2 main protease (Mpro) inhibitors.txt'
 'Bladder cancer cell-intrinsic PD-L1 signals promote mTOR and autophagy activation that can be inhibited to improve cytotoxic chemotherapy.txt', 'High proportion of drug-resistant isolates in adult community-acquired pneumonia from Northeast India  A hospital-based study.txt', 'Ribose-phosphate pyrophosphokinase 1 (PRPS1) associated with deltamethrin resistance in Culex pipiens pallens.txt'
 'Pueraria thomsonii Radix Water Extract Alleviate Type 2 Diabetes Mellitus in db/db Mice through Comprehensive Regulation of Metabolism and Gut Microbiota.txt', 'Comparison of the effects of the PI3K mTOR inhibitors NVP-BEZ235 and GSK2126458 on tamoxifen-resistant breast cancer cells.txt', 'Phospholipase D facilitates efficient entry of influenza virus
 'Targeting activin receptor-like kinase 1 inhibits angiogenesis and tumorigenesis through a mechanism of action complementary to anti-VEGF therapies.txt', 'Current concepts in antifungal pharmacology.txt', allowing escape from innate immune inhibition.txt'
 'A Phase 2 Trial of Abiraterone Followed by Randomization to Addition of Dasatinib or Sunitinib in Men With Metastatic Castration-Resistant Prostate Cancer.txt', 'Inhibitors of respiratory syncytial virus replication target cotranscriptional mRNA guanylylation by viral RNA-dependent RNA polymerase.txt', 'Identification and characterization of a major Zn(II) resistance determinant of Mycobacterium smegmatis.txt'
 'Selective use of sorafenib in the treatment of thyroid cancer.txt',, '8-Aminoquinolines active against blood stage Plasmodium falciparum in vitro inhibit hematin polymerization.txt'
 'Label-retaining liver cancer cells are relatively resistant to sorafenib.txt',, 'Sequence-selective recognition of extended-spectrum beta-lactamase GES-2 by a competitive
,, peptide nucleic acid-based multiplex PCR assay.txt'
'Small-molecule inhibition of human immunodeficiency virus type 1 infection by virus capsid destabilization.txt','Impact of dapagliflozin treatment on renal function and diuretics use in acute heart failure  a pilot study.txt','Adipocyte-Specific Hnrnpa1 Knockout Aggravates Obesity-Induced Metabolic Dysfunction via Upregulation of CCL2.txt'
 'Folic acid effect on homocysteine, 'Nebulized Micafungin Treatment for Scopulariopsis Microascus Tracheobronchitis in Lung Transplant Recipients.txt', 'Deficiency for costimulatory receptor 4-1BB protects against obesity-induced inflammation and metabolic disorders.txt'
 sortilin levels and glycemic control in type 2 diabetes mellitus patients.txt', 'Management of Chronic Myeloid Leukemia Patients Resistant to Tyrosine Kinase Inhibitors Treatment.txt', 'Src mediates cigarette smoke-induced resistance to tyrosine kinase inhibitors in NSCLC cells.txt'
 'Targeting tissue factor as a novel therapeutic oncotarget for eradication of cancer stem cells isolated from tumor cell lines, 'Comparison of cefazolin, 'Unique thrombin inhibition mechanism by anophelin
 tumor xenografts and patients of breast, cefamandole, an anticoagulant from the malaria vector.txt'
 lung and ovarian cancer.txt', vancomycin, 'Inhibition of SALL4 suppresses carcinogenesis of colorectal cancer via regulating Gli1 expression.txt'
 'Preclinical validation of the small molecule drug quininib as a novel therapeutic for colorectal cancer.txt', and LY146032 for prophylaxis of experimental Staphylococcus epidermidis endocarditis.txt', 'Molecular mechanism by which a potent hepatitis C virus NS3-NS4A protease inhibitor overcomes emergence of resistance.txt'
 'Cisplatin in Liver Cancer Therapy.txt', 'Phase II trial of recombinant immunotoxin RFB4(dsFv)-PE38 (BL22) in patients with hairy cell leukemia.txt', 'HSP90 identified by a proteomic approach as druggable target to reverse platinum resistance in ovarian cancer.txt'
 'Decoding the molecular mechanism of stypoldione against breast cancer through network pharmacology and experimental validation.txt', 'In Vitro Assessment of the Synergistic Effect of Aspirin and 5-Fluorouracil in Colorectal Adenocarcinoma Cells.txt',
 'Terpenoids  Natural Compounds for Non-Alcoholic Fatty Liver Disease (NAFLD) Therapy.txt',,
'Extract of Pleurotus pulmonarius suppresses liver cancer development and progression through inhibition of VEGF-induced PI3K AKT signaling pathway.txt','Effects of selective serotonin reuptake inhibitor treatment on plasma oxytocin and cortisol in major depressive disorder.txt','Emergence of drug resistance is associated with an increased risk of death among patients first starting HAART.txt'
 'Tonabersat (SB-220453) a novel benzopyran with anticonvulsant properties attenuates trigeminal nerve-induced neurovascular reflexes.txt', 'Dynamic change in phosphorylated platelet-derived growth factor receptor in peripheral blood leukocytes following docetaxel therapy predicts progression-free and overall survival in prostate cancer.txt', 'Fine mapping and molecular cloning of mutations in the herpes simplex virus DNA polymerase locus.txt'
 'A novel doxorubicin CTLA-4 blocker co-loaded drug delivery system improves efficacy and safety in antitumor therapy.txt', 'In vitro and in vivo antibacterial activities of TAK-083, 'Mutations associated with sulfadoxine-pyrimethamine and chlorproguanil resistance in Plasmodium falciparum isolates from Blantyre
 'Nanoparticles targeting mutant p53 overcome chemoresistance and tumor recurrence in non-small cell lung cancer.txt', an agent for treatment of Helicobacter pylori infection.txt', Malawi.txt'
 'Anti-Tuberculosis Activity of Three Carbapenems, 'Association between ERCC1 and XPA expression and polymorphisms and the response to cisplatin in testicular germ cell tumours.txt', 'Amino acid substitutions at position 69 of the reverse transcriptase of human immunodeficiency virus type 1 are frequent in zalcitabine-naive antiretroviral-drug-experienced patients.txt'
 Clofazimine and Nitazoxanide Using a Novel Ex Vivo Phenotypic Drug Susceptibility Model of Human Tuberculosis.txt', 'Perftoran () Inhibits Hypoxia-Associated Resistance in Lung Cancer Cells to Carboplatin.txt', 'Exploring the drug resistance of V32I and M46L mutant HIV-1 protease to inhibitor TMC114  flap dynamics and binding mechanism.txt'
 'Therapeutical Options in ROS1-Rearranged Advanced Non Small Cell Lung Cancer.txt', 'Clinical testing of new antimalarial compounds.txt', 'Molecular modeling and biochemical characterization reveal the mechanism of hepatitis B virus polymerase resistance to lamivudine (3TC) and emtricitabine (FTC).txt'
 'Revisiting Estrogen for the Treatment of Endocrine-Resistant Breast Cancer  Novel Therapeutic Approaches.txt', 'Electrochemotherapy with Mitomycin C Potentiates Apoptosis Death by Inhibiting Autophagy in Squamous Carcinoma Cells.txt', 'ERRgamma mediates tamoxifen resistance in novel models of invasive lobular breast cancer.txt'
 'Identification of a nucleoside analog active against adenosine kinase-expressing plasma cell malignancies.txt',, 'Circular RNA circ_0000376 promotes paclitaxel resistance and tumorigenesis of non-small cell lung cancer via positively modulating KPNA4 by sponging miR-1298-5p.txt'
 'Indole-3-Glycerol Phosphate Synthase From Mycobacterium tuberculosis  A Potential New Drug Target.txt',, 'Noncanonical EphA2 Signaling Is a Driver of Tumor-Endothelial Cell Interactions and Metastatic Dissemination in BRAF Inhibitor‒Resistant Melanoma.txt'
'Natural Compounds or Their Derivatives against Breast Cancer  A Computational Study.txt','In vitro Pharmacokinetics Pharmacodynamics Evaluation of Fosfomycin Combined with Amikacin or Colistin against KPC2-Producing Klebsiella pneumoniae.txt','Aspartate decarboxylase (PanD) as a new target of pyrazinamide in Mycobacterium tuberculosis.txt'
 'Modulation of Navitoclax Sensitivity by Dihydroartemisinin-Mediated MCL-1 Repression in BCR-ABL+ B-Lineage Acute Lymphoblastic Leukemia.txt', 'Peritoneal Metastasis After Treated With Abemaciclib Plus Fulvestrant for Metastatic Invasive Lobular Breast Cancer  A Case Report and Review of the Literature.txt', 'Rac-1 superactivation triggers insulin-independent glucose transporter 4 (GLUT4) translocation that bypasses signaling defects exerted by c-Jun N-terminal kinase (JNK)- and ceramide-induced insulin resistance.txt'
 'Platinum(IV) Complexes of the 1, 'Antibiotic Cycling Reverts Extensive Drug Resistance in Burkholderia multivorans.txt', 'The E3 ubiquitin ligase NEDD4 regulates chemoresistance to 5-fluorouracil in colorectal cancer cells by altering JNK signalling.txt'
3, 'Vancomycin MIC for methicillin-resistant coagulase-negative Staphylococcus isolates  evaluation of the broth microdilution and Etest methods.txt', 'LPCAT2 inhibits colorectal cancer progression via the PRMT1 SLC7A11 axis.txt'
5-Triamino Analogue of the Biomolecule Cis-Inositol Designed as Innovative Antineoplastic Drug Candidates.txt', 'In Vitro and in vivo Evaluation of Electrochemotherapy with trans-platinum Analogue trans-[PtCl2(3-Hmpy)2, 'ELK3 modulates the antitumor efficacy of natural killer cells against triple negative breast cancer by regulating mitochondrial dynamics.txt'
 'Recent advances in targeted drug delivery systems for resistant colorectal cancer.txt',,
 'Emerging drugs for the treatment of diabetic ulcers.txt',,
 'Mechanisms and Advances in Anti-Ovarian Cancer with Natural Plants Component.txt',,
'SOX9-PDK1 axis is essential for glioma stem cell self-renewal and temozolomide resistance.txt','Healthcare-associated Staphylococcus aureus Bacteremia in Children  Evidence for Reverse Vancomycin Creep and Impact of Vancomycin Trough Values on Outcome.txt','SOX9-PDK1 axis is essential for glioma stem cell self-renewal and temozolomide resistance.txt'
 'Antiviral effect of emodin from Rheum palmatum against coxsakievirus B5 and human respiratory syncytial virus in vitro.txt', 'Efficacy of tailored Helicobacter pylori eradication therapy based on antibiotic susceptibility and CYP2C19 genotype.txt', 'Targeting Pan-ETS Factors Inhibits Melanoma Progression.txt'
 'Random Forest Model Predictions Afford Dual-Stage Antimalarial Agents.txt', 'The Impact of Extended Treatment With Artemether-lumefantrine on Antimalarial Exposure and Reinfection Risks in Ugandan Children With Uncomplicated Malaria  A Randomized Controlled Trial.txt', 'Comprehensive essentiality analysis of the Mycobacterium kansasii genome by saturation transposon mutagenesis and deep sequencing.txt'
 'Discovery of a novel and potent class of FabI-directed antibacterial agents.txt', 'Evaluation of the behaviour change communication and community mobilization activities in Myanmar artemisinin resistance containment zones.txt', 'Synthetic lethal screen of an EGFR-centered network to improve targeted therapies.txt'
 'Dual inhibition of FGFR4 and BCL-xL inhibits multi-resistant ovarian cancer with BCL2L1 gain.txt', 'Efficacy of Cochleated Amphotericin B in Mouse and Human Mucocutaneous Candidiasis.txt', 'Albumin fusion with granulocyte-macrophage colony-stimulating factor acts as an immunotherapy against chronic tuberculosis.txt'
 'Virtual Screening and Experimental Validation Identify Novel Inhibitors of the Plasmodium falciparum Atg8-Atg3 Protein-Protein Interaction.txt', 'Two or three days of ofloxacin treatment for uncomplicated multidrug-resistant typhoid fever in children.txt', 'BCMA-Specific ADC MEDI2228 and Daratumumab Induce Synergistic Myeloma Cytotoxicity via IFN-Driven Immune Responses and Enhanced CD38 Expression.txt'
 'A Mycobacterium tuberculosis NBTI DNA Gyrase Inhibitor Is Active against Mycobacterium abscessus.txt', 'The Discovery and Development of a Potent Antiviral Drug, 'Functional genomic analysis of drug sensitivity pathways to guide adjuvant strategies in breast cancer.txt'
 'EF24 induces G2 M arrest and apoptosis in cisplatin-resistant human ovarian cancer cells by increasing PTEN expression.txt', Entecavir, '53-paralog DNp73 oncogene is repressed by IFNα STAT2 through the recruitment of the Ezh2 polycomb group transcriptional repressor.txt'
 'Drug-Resistant Breast Cancer  Dwelling the Hippo Pathway to Manage the Treatment.txt', for the Treatment of Chronic Hepatitis B.txt', 'The ERK-ZEB1 pathway mediates epithelial-mesenchymal transition in pemetrexed resistant lung cancer cells with suppression by vinca alkaloids.txt'
 'Reversal effect and mechanism of Ginkgo biloba exocarp extracts in multidrug resistance of mice S180 tumor cells.txt', 'Antimicrobial stewardship lessons  do Pseudomonas-sparing agents, 'Multidrug resistance transporters P-gp and BCRP limit the efficacy of ATR inhibitor ceralasertib in cancer cells.txt'
, such as ertapenem,
, effectively improve bacterial resistance.txt',
, 'Use of antibiotics in Paediatric Primary Health Care before and during the COVID-19 pandemic.txt',
'Systemic approaches identify a garlic-derived chemical,'Treatment with specific and pan-plasma membrane calcium ATPase (PMCA) inhibitors reduces malaria parasite growth in vitro and in vivo.txt','Expression of the NH(2)-terminal fragment of RasGAP in pancreatic beta-cells increases their resistance to stresses and protects mice from diabetes.txt'
 Z-ajoene, 'In vitro and in vivo antibacterial activity of AT-2266.txt', 'Unique Pattern of Overexpression of Raf-1 Kinase Inhibitory Protein in Its Inactivated Phosphorylated Form in Human Multiple Myeloma.txt'
 as a glioblastoma multiforme cancer stem cell-specific targeting agent.txt', 'Clinical case of endocarditis due to Trichosporon inkin and antifungal susceptibility profile of the organism.txt', 'MDM2 antagonist nutlin-3a reverses mitoxantrone resistance by inhibiting breast cancer resistance protein mediated drug transport.txt'
 'In Silico screening on the three-dimensional model of the Plasmodium vivax SUB1 protease leads to the validation of a novel anti-parasite compound.txt', 'Effect of remdesivir on viral dynamics in COVID-19 hospitalized patients  a modelling analysis of the randomized, 'BRAF V600E inhibition stimulates AMP-activated protein kinase-mediated autophagy in colorectal cancer cells.txt'
 'Systems pharmacology dissection of action mechanisms for herbs in osteoporosis treatment.txt', controlled, 'Tissue factor overexpression promotes resistance to KRAS-G12C inhibition in non-small cell lung cancer.txt'
 'Tackling Sleeping Sickness  Current and Promising Therapeutics and Treatment Strategies.txt', open-label DisCoVeRy trial.txt', 'ABT-888 enhances cytotoxic effects of temozolomide independent of MGMT status in serum free cultured glioma cells.txt'
 'Potential options for managing LOX+ ER- breast cancer patients.txt', 'Clinical Efficacy of Ertapenem for Recurrent Cystitis Caused by Multidrug-Resistant Extended-Spectrum β-Lactamase-Producing Escherichia coli in Female Outpatients.txt',
 'Lead screening for HIV-1 integrase (IN) inhibited by traditional Chinese medicine.txt', 'A phase I II study of KW-2478,
, an Hsp90 inhibitor,
, in combination with bortezomib in patients with relapsed refractory multiple myeloma.txt',
Current Molecular Therapeutic Agents and Drug Candidates for Mycobacterium abscessus.txt,The impact of aspirin resistance on the long-term cardiovascular mortality in patients with non-ST segment elevation acute coronary syndromes.txt,Quinolone resistance mutations in Streptococcus pneumoniae GyrA and ParC proteins  mechanistic insights into quinolone action from enzymatic analysis
 Crowdsourced identification of multi-target kinase inhibitors for RET- and TAU- based disease  The Multi-Targeting Drug DREAM Challenge.txt, Pharmacokinetics, intracellular levels
 Hallmark-guided subtypes of hepatocellular carcinoma for the identification of immune-related gene classifiers in the prediction of prognosis, efficacy and tolerance of cefoxitin in the treatment of cefoxitin-susceptible extended-spectrum beta-lactamase producing Enterobacterales infections in critically ill patients  a retrospective single-center study.txt, and phenotypes of wild-type and mutant proteins.txt
 treatment efficacy, Ibrutinib in mantle cell lymphoma patients  glass half full.txt, Molecular basis of resistance to macrolides and other antibiotics in commensal viridans group streptococci and Gemella spp.txt
 and drug candidates.txt, Evaluation of carbapenem resistance using phenotypic and genotypic techniques in Enterobacteriaceae isolates.txt, HIF-1alpha inhibition reverses multidrug resistance in colon cancer cells via downregulation of MDR1 P-glycoprotein.txt
 Therapeutic Targeting of Nemo-like Kinase in Primary and Acquired Endocrine-resistant Breast Cancer.txt, Pre-Clinical Evaluation of the Proteasome Inhibitor Ixazomib against Bortezomib-Resistant Leukemia Cells and Primary Acute Leukemia Cells.txt, NPRL2 sensitizes human non-small cell lung cancer (NSCLC) cells to cisplatin treatment by regulating key components in the DNA repair pathway.txt
 Epidermal Growth Factor Receptor Inhibitors in Glioblastoma  Current Status and Future Possibilities.txt, Terfenadine resensitizes doxorubicin activity in drug-resistant ovarian cancer cells via an inhibition of CaMKII CREB1 mediated ABCB1 expression.txt, Unveiling IL6R and MYC as Targeting Biomarkers in Imatinib-Resistant Chronic Myeloid Leukemia through Advanced Non-Invasive Apoptosis Detection Sensor Version 2 Detection.txt
 Targeting ferroptosis in renal cell carcinoma  Potential mechanisms and novel therapeutics.txt,, Transcriptomics and Proteomics of Haemonchus contortus in Response to Ivermectin Treatment.txt
'Essential Oils and Their Compounds as Potential Anti-Influenza Agents.txt','Glioma Metabolic Feedback In Situ  A First-In-Human Pharmacodynamic Trial of Difluoromethylornithine + AMXT-1501 Through High-Molecular Weight Microdialysis.txt','Tumor antigen acrosin binding protein normalizes mitotic spindle function to promote cancer cell proliferation.txt'
 'A novel tumor-homing TRAIL variant eradicates tumor xenografts of refractory colorectal cancer cells in combination with tumor cell-targeted photodynamic therapy.txt', 'Comparative prophylactic efficacies of ciprofloxacin, 'Dysregulation of sterol regulatory element binding protein-1c in livers of morbidly obese women is associated with altered suppressor of cytokine signaling-3 and signal transducer and activator of transcription-1 signaling.txt'
 'Platycodin D confers oxaliplatin Resistance in Colorectal Cancer by activating the LATS2 YAP1 axis of the hippo signaling pathway.txt', ofloxacin, 'The SLT2 mitogen-activated protein kinase-mediated signalling pathway governs conidiation
 'Identification of the Cysteine Protease Legumain as a Potential Chronic Hypoxia-Specific Multiple Myeloma Target Gene.txt', cefazolin, morphogenesis
 'Arsenic reverses glioblastoma resistance to mTOR-targeted therapies.txt', and vancomycin in experimental model of staphylococcal wound infection.txt', fungal virulence and production of toxin and melanin in the tangerine pathotype of Alternaria alternata.txt'
 'N-Alkyl-2-Quinolonopyrones Demonstrate Antimicrobial Activity against ESKAPE Pathogens Including Staphylococcus aureus.txt', 'Emergence of Ceftazidime-Avibactam Resistance and Decreased Virulence in Carbapenem-Resistant ST11 Klebsiella pneumoniae During Antibiotics Treatment.txt', 'Both carboxy- and amino-terminal domains of the vaccinia virus interferon resistance gene
 'The Trisubstituted Isoxazole MMV688766 Exerts Broad-Spectrum Activity against Drug-Resistant Fungal Pathogens through Inhibition of Lipid Homeostasis.txt', 'Antibiotic susceptibility of potentially probiotic vaginal lactobacilli.txt', E3L
 'An analog of camptothecin inactive against Topoisomerase I is broadly neutralizing of HIV-1 through inhibition of Vif-dependent APOBEC3G degradation.txt', 'Global Association between Thermophilicity and Vancomycin Susceptibility in Bacteria.txt', are required for pathogenesis in a mouse model.txt'
, 'Stat3 inhibitor Stattic exhibits potent antitumor activity and induces chemo- and radio-sensitivity in nasopharyngeal carcinoma.txt', 'Radical SAM Enzymes and Ribosomally-Synthesized and Post-translationally Modified Peptides  A Growing Importance in the Microbiomes.txt'
, 'In vitro activity of a novel antimicrobial agent, 'ABCG2 is a potential prognostic marker of overall survival in patients with clear cell renal cell carcinoma.txt'
, TG44, 'Mrp1 is essential for sphingolipid signaling to p-glycoprotein in mouse blood-brain and blood-spinal cord barriers.txt'
, for treatment of Helicobacter pylori infection.txt', 'Integration of microRNA changes in vivo identifies novel molecular features of muscle insulin resistance in type 2 diabetes.txt'
, 'Activities of daptomycin and teicoplanin against Staphylococcus haemolyticus and Staphylococcus epidermidis, 'The lncRNA XIST miR-125b-2-3p axis modulates cell proliferation and chemotherapeutic sensitivity via targeting Wee1 in colorectal cancer.txt'
, including evaluation of susceptibility testing recommendations.txt',
'Prolyl hydroxylase inhibitor desidustat improves anemia in erythropoietin hyporesponsive state.txt','Evaluation of antimalarial resistance marker polymorphism in returned migrant workers in China.txt','Anti-Malassezia globosa (MYA-4889
 'The anti-tumor activities of Neferine on cell invasion and oxaliplatin sensitivity regulated by EMT via Snail signaling in hepatocellular carcinoma.txt', 'Physiological effects of fenpropimorph on wild-type Saccharomyces cerevisiae and fenpropimorph-resistant mutants.txt', ATCC) activity of Thai propolis from the stingless bee Geniotrigona thoracica.txt'
 'Inhibition of SP1 by the mithramycin analog EC-8042 efficiently targets tumor initiating cells in sarcoma.txt', 'Fitness Costs of Drug Resistance Mutations in Multidrug-Resistant Mycobacterium tuberculosis  A Household-Based Case-Control Study.txt', 'Characterization of macrolide efflux pump mef subclasses detected in clinical isolates of Streptococcus pyogenes isolated between 1999 and 2005.txt'
 'Dual Targeted Nanoparticles for the Codelivery of Doxorubicin and siRNA Cocktails to Overcome Ovarian Cancer Stem Cells.txt', 'Minimal Cross-resistance to Tenofovir in Children and Adolescents Failing ART Makes Them Eligible for Tenofovir-Lamivudine-Dolutegravir Treatment.txt', 'Active-site residues of Escherichia coli DNA gyrase required in coupling ATP hydrolysis to DNA supercoiling and amino acid substitutions leading to novobiocin resistance.txt'
 'KRAS mutation  from undruggable to druggable in cancer.txt', 'Resistance mutations in SARS-CoV-2 omicron variant in patients treated with sotrovimab.txt', 'CD2068 potentially mediates multidrug efflux in Clostridium difficile.txt'
