Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
 'The triglyceride to high-density lipoprotein cholesterol (TG HDL-C) ratio as a predictor of insulin resistance but not of beta cell function in a Chinese population with different glucose tolerance status.txt', 'Synthesis, 'Targeting epigenetic regulators to overcome drug resistance in cancers.txt',The triglyceride to high-density lipoprotein cholesterol (TG HDL-C) ratio as a predictor of insulin resistance but not of beta cell function in a Chinese population with different glucose tolerance status.txt,Sign of the times.txt,Targeting epigenetic regulators to overcome drug resistance in cancers.txt
 'Insulin  an emerging treatment for Alzheimer's disease dementia.txt', antitubercular activity and mechanism of resistance of highly effective thiacetazone analogues.txt', 'SoxRS-mediated lipopolysaccharide modification enhances resistance against multiple drugs in Escherichia coli.txt',Insulin  an emerging treatment for Alzheimer's disease dementia.txt,"Synthesis, antitubercular activity and mechanism of resistance of highly effective thiacetazone analogues.txt",SoxRS-mediated lipopolysaccharide modification enhances resistance against multiple drugs in Escherichia coli.txt
'High expression of P4HA3 in obesity  a potential therapeutic target for type 2 diabetes.txt','Effect of a sustained reduction in plasma free fatty acid concentration on insulin signalling and inflammation in skeletal muscle from human subjects.txt','Inhibition of non-homologous end joining repair impairs pancreatic cancer growth and enhances radiation response.txt',High expression of P4HA3 in obesity  a potential therapeutic target for type 2 diabetes.txt,Effect of a sustained reduction in plasma free fatty acid concentration on insulin signalling and inflammation in skeletal muscle from human subjects.txt,Inhibition of non-homologous end joining repair impairs pancreatic cancer growth and enhances radiation response.txt
 'Ellagic acid inhibits tumor growth and potentiates the therapeutic efficacy of sorafenib in hepatocellular carcinoma.txt', 'Validation of a novel index to assess insulin resistance of adipose tissue lipolytic activity in obese subjects.txt', 'Multi-Omics Analysis Revealed a Significant Alteration of Critical Metabolic Pathways Due to Sorafenib-Resistance in Hep3B Cell Lines.txt',Ellagic acid inhibits tumor growth and potentiates the therapeutic efficacy of sorafenib in hepatocellular carcinoma.txt,Validation of a novel index to assess insulin resistance of adipose tissue lipolytic activity in obese subjects.txt,Multi-Omics Analysis Revealed a Significant Alteration of Critical Metabolic Pathways Due to Sorafenib-Resistance in Hep3B Cell Lines.txt
 'Inhibition of non-homologous end joining repair impairs pancreatic cancer growth and enhances radiation response.txt', 'Multiple-dose pharmacokinetics and in vitro antimalarial activity of dapsone plus pyrimethamine (Maloprim) in man.txt', 'Comparative transcriptome analysis reveals novel roles of the Ras and cyclic AMP signaling pathways in environmental stress response and antifungal drug sensitivity in Cryptococcus neoformans.txt',Inhibition of non-homologous end joining repair impairs pancreatic cancer growth and enhances radiation response.txt,Multiple-dose pharmacokinetics and in vitro antimalarial activity of dapsone plus pyrimethamine (Maloprim) in man.txt,Comparative transcriptome analysis reveals novel roles of the Ras and cyclic AMP signaling pathways in environmental stress response and antifungal drug sensitivity in Cryptococcus neoformans.txt
 'Ribavirin is effective against drug-resistant H7N9 influenza virus infections.txt', 'Photodynamic Therapy Is Effective Against Candida auris Biofilms.txt', 'MicroRNAs as the critical regulators of Cisplatin resistance in ovarian cancer cells.txt',Ribavirin is effective against drug-resistant H7N9 influenza virus infections.txt,Photodynamic Therapy Is Effective Against Candida auris Biofilms.txt,MicroRNAs as the critical regulators of Cisplatin resistance in ovarian cancer cells.txt
 'Cisplatin or Doxorubicin Reduces Cell Viability via the PTPIVA3-JAK2-STAT3 Cascade in Hepatocellular Carcinoma.txt', 'Drown Them in Their Own Garbage  a New Strategy To Reverse Polymyxin Resistance.txt', 'The Role of Exosomal Non-Coding RNAs in Colorectal Cancer Drug Resistance.txt',Cisplatin or Doxorubicin Reduces Cell Viability via the PTPIVA3-JAK2-STAT3 Cascade in Hepatocellular Carcinoma.txt,Drown Them in Their Own Garbage  a New Strategy To Reverse Polymyxin Resistance.txt,The Role of Exosomal Non-Coding RNAs in Colorectal Cancer Drug Resistance.txt
 'Discovery of VNRX-7145 (VNRX-5236 Etzadroxil)  An Orally Bioavailable β-Lactamase Inhibitor for Enterobacterales Expressing Ambler Class A, 'Phosphate Promotes the Recovery of Mycobacterium tuberculosis β-Lactamase from Clavulanic Acid Inhibition.txt', 'CRISPR dCas9-KRAB-Mediated Suppression of S100b Restores p53-Mediated Apoptosis in Melanoma Cells.txt',"Discovery of VNRX-7145 (VNRX-5236 Etzadroxil)  An Orally Bioavailable β-Lactamase Inhibitor for Enterobacterales Expressing Ambler Class A, C, and D Enzymes.txt",Phosphate Promotes the Recovery of Mycobacterium tuberculosis β-Lactamase from Clavulanic Acid Inhibition.txt,CRISPR dCas9-KRAB-Mediated Suppression of S100b Restores p53-Mediated Apoptosis in Melanoma Cells.txt
 C, 'Effect of geranylated dihydrochalcone from Artocarpus altilis leaves extract on Plasmodium falciparum ultrastructural changes and mitochondrial malate  Quinone oxidoreductase.txt', 'Crosstalk between microRNA and DNA Methylation Offers Potential Biomarkers and Targeted Therapies in ALK-Positive Lymphomas.txt',C.txt,Effect of geranylated dihydrochalcone from Artocarpus altilis leaves extract on Plasmodium falciparum ultrastructural changes and mitochondrial malate  Quinone oxidoreductase.txt,Crosstalk between microRNA and DNA Methylation Offers Potential Biomarkers and Targeted Therapies in ALK-Positive Lymphomas.txt
'Research Progress on RET Fusion in Non-Small-Cell Lung Cancer.txt','First report of eprinomectin-resistant isolates of Haemonchus contortus in 5 dairy sheep farms from the Pyrénées Atlantiques département in France.txt','Mutations causing aminotriazole resistance and temperature sensitivity reside in gyrB,Research Progress on RET Fusion in Non-Small-Cell Lung Cancer.txt,First report of eprinomectin-resistant isolates of Haemonchus contortus in 5 dairy sheep farms from the Pyrénées Atlantiques département in France.txt,"Mutations causing aminotriazole resistance and temperature sensitivity reside in gyrB, which encodes the B subunit of DNA gyrase.txt"
 'Something old, 'Activities of telithromycin against 13, which encodes the B subunit of DNA gyrase.txt',Deworming the world.txt,Activity of rat Mx proteins against a rhabdovirus.txt,Neuroprotection by the NR3A subunit of the NMDA receptor.txt
 something new and something very old  drugs for treating type 2 diabetes.txt',874 Streptococcus pneumoniae isolates collected between 1999 and 2003.txt', 'SigniSite  Identification of residue-level genotype-phenotype correlations in protein multiple sequence alignments.txt',"Something old, something new and something very old  drugs for treating type 2 diabetes.txt","Activities of telithromycin against 13,874 Streptococcus pneumoniae isolates collected between 1999 and 2003.txt",SigniSite  Identification of residue-level genotype-phenotype correlations in protein multiple sequence alignments.txt
 'Targeting the PI3K mTOR Pathway in Pediatric Hematologic Malignancies.txt', 'Zosuquidar restores drug sensitivity in P-glycoprotein expressing acute myeloid leukemia (AML).txt', 'Molecular cloning and analysis of yeast gene for cycloheximide resistance and ribosomal protein L29.txt',Targeting the PI3K mTOR Pathway in Pediatric Hematologic Malignancies.txt,Zosuquidar restores drug sensitivity in P-glycoprotein expressing acute myeloid leukemia (AML).txt,Molecular cloning and analysis of yeast gene for cycloheximide resistance and ribosomal protein L29.txt
 'RUNX3 regulates the susceptibility against EGFR-targeted non-small cell lung cancer therapy using 47Sc-conjugated cetuximab.txt', 'Effect of novobiocin-containing antimicrobial regimens on infection and colonization with vancomycin-resistant Enterococcus faecium.txt', 'Analysis of the key ligand receptor CADM1_CADM1 in the regulation of thyroid cancer based on scRNA-seq and bulk RNA-seq data.txt',RUNX3 regulates the susceptibility against EGFR-targeted non-small cell lung cancer therapy using 47Sc-conjugated cetuximab.txt,Effect of novobiocin-containing antimicrobial regimens on infection and colonization with vancomycin-resistant Enterococcus faecium.txt,Analysis of the key ligand receptor CADM1_CADM1 in the regulation of thyroid cancer based on scRNA-seq and bulk RNA-seq data.txt
 'The Potential of Lamiaceae Herbs for Mitigation of Overweight, 'Antimicrobial Resistance of Acinetobacter baumannii to Imipenem in Iran  A Systematic Review and Meta-Analysis.txt', 'Membrane Sensor Histidine Kinases  Insights from Structural,"The Potential of Lamiaceae Herbs for Mitigation of Overweight, Obesity, and Fatty Liver  Studies and Perspectives.txt",Antimicrobial Resistance of Acinetobacter baumannii to Imipenem in Iran  A Systematic Review and Meta-Analysis.txt,Structural Modeling Insights into Human VKORC1 Phenotypes.txt
 Obesity, 'Optimal ceftazidime avibactam dosing exposure against KPC-producing Klebsiella pneumoniae.txt', Ligand and Inhibitor Studies of Full-Length Proteins and Signalling Domains for Antibiotic Discovery.txt',Obituary.txt,Optimal ceftazidime avibactam dosing exposure against KPC-producing Klebsiella pneumoniae.txt,"Membrane Sensor Histidine Kinases  Insights from Structural, Ligand and Inhibitor Studies of Full-Length Proteins and Signalling Domains for Antibiotic Discovery.txt"
'Novel drug delivery systems  desired feat for tuberculosis.txt','Efficacy of fosfomycin in experimental osteomyelitis due to methicillin-resistant Staphylococcus aureus.txt','HDMX regulates p53 activity and confers chemoresistance to 3-bis(2-chloroethyl)-1-nitrosourea.txt',Novel drug delivery systems  desired feat for tuberculosis.txt,Efficacy of fosfomycin in experimental osteomyelitis due to methicillin-resistant Staphylococcus aureus.txt,HDMX regulates p53 activity and confers chemoresistance to 3-bis(2-chloroethyl)-1-nitrosourea.txt
 'Targeting the Hedgehog signaling pathway in cancer  beyond Smoothened.txt', 'Exposure to rufinamide and risks of CNS adverse events in drug-resistant epilepsy  a meta-analysis of randomized, 'Inhibition of SIRT6 in prostate cancer reduces cell viability and increases sensitivity to chemotherapeutics.txt',Targeting the Hedgehog signaling pathway in cancer  beyond Smoothened.txt,"Exposure to rufinamide and risks of CNS adverse events in drug-resistant epilepsy  a meta-analysis of randomized, placebo-controlled trials.txt",Inhibition of SIRT6 in prostate cancer reduces cell viability and increases sensitivity to chemotherapeutics.txt
 'Overcoming resistance to BRAF inhibitors.txt', placebo-controlled trials.txt', 'Upregulation of integrin‑linked kinase enhances tumor progression in gemcitabine‑resistant pancreatic cancer.txt',Overcoming resistance to BRAF inhibitors.txt,Randomised controlled trial.txt,Upregulation of integrin‑linked kinase enhances tumor progression in gemcitabine‑resistant pancreatic cancer.txt
 'Curcumin in treatment of hematological cancers  Promises and challenges.txt', 'Evaluation of Apoptotic and Antileishmanial Activities of Artemisinin on Promastigotes and BALB C Mice Infected with Leishmania major.txt', 'MOF induces cisplatin resistance of ovarian cancer by regulating the stability and expression of MDM2.txt',Curcumin in treatment of hematological cancers  Promises and challenges.txt,Evaluation of Apoptotic and Antileishmanial Activities of Artemisinin on Promastigotes and BALB C Mice Infected with Leishmania major.txt,MOF induces cisplatin resistance of ovarian cancer by regulating the stability and expression of MDM2.txt
 'Anti-Cancer SERCA Inhibitors Targeting Sorafenib-Resistant Human Papillary Thyroid Carcinoma.txt', 'Artemisinin-based combination therapy for treating uncomplicated Plasmodium vivax malaria.txt', 'Functional roles of SRC signaling in pancreatic cancer  Recent insights provide novel therapeutic opportunities.txt',Anti-Cancer SERCA Inhibitors Targeting Sorafenib-Resistant Human Papillary Thyroid Carcinoma.txt,Artemisinin-based combination therapy for treating uncomplicated Plasmodium vivax malaria.txt,Functional roles of SRC signaling in pancreatic cancer  Recent insights provide novel therapeutic opportunities.txt
 'Imipramine is an orally active drug against both antimony sensitive and resistant Leishmania donovani clinical isolates in experimental infection.txt', 'Five years of non-prescription oseltamivir  effects on resistance, 'Cloning and expression of the norA gene for fluoroquinolone resistance in Staphylococcus aureus.txt',Imipramine is an orally active drug against both antimony sensitive and resistant Leishmania donovani clinical isolates in experimental infection.txt,"Five years of non-prescription oseltamivir  effects on resistance, immunization and stockpiling.txt",Cloning and expression of the norA gene for fluoroquinolone resistance in Staphylococcus aureus.txt
 'Solution of the Drug Resistance Problem of Escherichia coli with Silver Nanoparticles  Efflux Effect and Susceptibility to 31 Antibiotics.txt', immunization and stockpiling.txt', 'Discriminatory detection of inhibitor-resistant beta-lactamases in Escherichia coli by single-strand conformation polymorphism-PCR.txt',Solution of the Drug Resistance Problem of Escherichia coli with Silver Nanoparticles  Efflux Effect and Susceptibility to 31 Antibiotics.txt,Viral inactivation by light.txt,Discriminatory detection of inhibitor-resistant beta-lactamases in Escherichia coli by single-strand conformation polymorphism-PCR.txt
'Viral protease inhibitors.txt','Acceptable plasma concentrations of raltegravir and etravirine when administered by gastrostomy tube in a patient with advanced multidrug-resistant human immunodeficiency virus infection.txt','Physiologic and genetic evidence links hemopexin to triglycerides in mice and humans.txt',Viral protease inhibitors.txt,Acceptable plasma concentrations of raltegravir and etravirine when administered by gastrostomy tube in a patient with advanced multidrug-resistant human immunodeficiency virus infection.txt,Physiologic and genetic evidence links hemopexin to triglycerides in mice and humans.txt
 'Pyridyl Methylsulfinyl Benzimidazole Derivatives as Promising Agents against Giardia lamblia and Trichomonas vaginalis.txt', 'Successful Treatment With Intrathecal and Intravenous Polymyxin B-Based Combination Against MDR Acinetobacter baumannii Meningitis in Pediatric Patient  A Case Report.txt', 'Identification and functional characterization of the human glutathione S-transferase P1 gene as a novel transcriptional target of the p53 tumor suppressor gene.txt',Pyridyl Methylsulfinyl Benzimidazole Derivatives as Promising Agents against Giardia lamblia and Trichomonas vaginalis.txt,Successful Treatment With Intrathecal and Intravenous Polymyxin B-Based Combination Against MDR Acinetobacter baumannii Meningitis in Pediatric Patient  A Case Report.txt,Identification and functional characterization of the human glutathione S-transferase P1 gene as a novel transcriptional target of the p53 tumor suppressor gene.txt
 'Synergistic interactions of ciprofloxacin and extended-spectrum beta-lactams or aminoglycosides against multiply drug-resistant Pseudomonas maltophilia.txt', 'Does lapatinib work against HER2-negative breast cancers.txt', 'SRC family kinase (SFK) inhibitor dasatinib improves the antitumor activity of anti-PD-1 in NSCLC models by inhibiting Treg cell conversion and proliferation.txt',Synergistic interactions of ciprofloxacin and extended-spectrum beta-lactams or aminoglycosides against multiply drug-resistant Pseudomonas maltophilia.txt,Does lapatinib work against HER2-negative breast cancers.txt,SRC family kinase (SFK) inhibitor dasatinib improves the antitumor activity of anti-PD-1 in NSCLC models by inhibiting Treg cell conversion and proliferation.txt
 'Antimicrobial and beta-lactamase inhibitory activities of carpetimycins A and B, 'Randomized Phase II trial assessing estramustine and vinblastine combination chemotherapy vs estramustine alone in patients with progressive hormone-escaped metastatic prostate cancer.txt', 'KiSS-1 Modulation by Epigenetic Agents Improves the Cisplatin Sensitivity of Lung Cancer Cells.txt',"Antimicrobial and beta-lactamase inhibitory activities of carpetimycins A and B, new carbapenem antibiotics.txt",Randomized Phase II trial assessing estramustine and vinblastine combination chemotherapy vs estramustine alone in patients with progressive hormone-escaped metastatic prostate cancer.txt,KiSS-1 Modulation by Epigenetic Agents Improves the Cisplatin Sensitivity of Lung Cancer Cells.txt
 new carbapenem antibiotics.txt', 'Preclinical characterization of GSK2336805, 'Inhibition of mutant BRAF splice variant signaling by next-generation,Where next for antibiotics.txt,Molecular characterization of a 21.txt,"Inhibition of mutant BRAF splice variant signaling by next-generation, selective RAF inhibitors.txt"
 'Comparative Metabolic Pathways Analysis and Subtractive Genomics Profiling to Prioritize Potential Drug Targets Against Streptococcus pneumoniae.txt', a novel inhibitor of hepatitis C virus replication that selects for resistance in NS5A.txt', selective RAF inhibitors.txt',Comparative Metabolic Pathways Analysis and Subtractive Genomics Profiling to Prioritize Potential Drug Targets Against Streptococcus pneumoniae.txt,"Preclinical characterization of GSK2336805, a novel inhibitor of hepatitis C virus replication that selects for resistance in NS5A.txt","Et tu, inhibitor.txt"
 'Crystal structures of HIV-1 reverse transcriptase with picomolar inhibitors reveal key interactions for drug design.txt', 'Imatinib mesylate for chronic myeloid leukemia  in patients with initial treatment versus those with Recombinant Human IFN-α2b treatment failure, 'Assessing adaptation of the cancer kinome in response to targeted therapies.txt',Crystal structures of HIV-1 reverse transcriptase with picomolar inhibitors reveal key interactions for drug design.txt,Imatinib mesylate for chronic myeloid leukemia  in patients with initial treatment versus those with Recombinant Human IFN-α2b treatment failure].txt,Assessing adaptation of the cancer kinome in response to targeted therapies.txt
'Protective Effects and Mechanisms of Yinchen Linggui Zhugan Decoction in HFD-Induced Nonalcoholic Fatty Liver Disease Rats Based on Network Pharmacology and Experimental Verification.txt','In vitro induction of human immunodeficiency virus type 1 variants resistant to 2'-beta-Fluoro-2','1-deoxy-D-xylulose-5-phosphate synthase from Pseudomonas aeruginosa and Klebsiella pneumoniae reveals conformational changes upon cofactor binding.txt',Protective Effects and Mechanisms of Yinchen Linggui Zhugan Decoction in HFD-Induced Nonalcoholic Fatty Liver Disease Rats Based on Network Pharmacology and Experimental Verification.txt,"In vitro induction of human immunodeficiency virus type 1 variants resistant to 2'-beta-Fluoro-2',3'-dideoxyadenosine.txt",1-deoxy-D-xylulose-5-phosphate synthase from Pseudomonas aeruginosa and Klebsiella pneumoniae reveals conformational changes upon cofactor binding.txt
 'Repurposing itraconazole for the treatment of cancer.txt',3'-dideoxyadenosine.txt', '3-Oxoacid CoA transferase 1 as a therapeutic target gene for cisplatin-resistant ovarian cancer.txt',Repurposing itraconazole for the treatment of cancer.txt,53-dependent apoptosis.txt,3-Oxoacid CoA transferase 1 as a therapeutic target gene for cisplatin-resistant ovarian cancer.txt
 'Momelotinib is a highly potent inhibitor of FLT3-mutant AML.txt', 'Rapid selection of Plasmodium falciparum chloroquine resistance transporter gene and multidrug resistance gene-1 haplotypes associated with past chloroquine and present artemether-lumefantrine use in Inhambane District, 'Identification and characterization of mutations in the SARS-CoV-2 RNA-dependent RNA polymerase as a promising antiviral therapeutic target.txt',Momelotinib is a highly potent inhibitor of FLT3-mutant AML.txt,"Rapid selection of Plasmodium falciparum chloroquine resistance transporter gene and multidrug resistance gene-1 haplotypes associated with past chloroquine and present artemether-lumefantrine use in Inhambane District, southern Mozambique.txt",Identification and characterization of mutations in the SARS-CoV-2 RNA-dependent RNA polymerase as a promising antiviral therapeutic target.txt
 'Serine synthesis pathway inhibition cooperates with dietary serine and glycine limitation for cancer therapy.txt', southern Mozambique.txt', 'R-145 sensitizes breast cancer to doxorubicin by targeting multidrug resistance-associated protein-1.txt',Serine synthesis pathway inhibition cooperates with dietary serine and glycine limitation for cancer therapy.txt,Milrinone in heart failure.txt,R-145 sensitizes breast cancer to doxorubicin by targeting multidrug resistance-associated protein-1.txt
 'Sabizabulin, 'Impact of sunitinib resistance on clear cell renal cell carcinoma therapeutic sensitivity in vitro.txt', 'Role of hyaluronan-mediated CD44 signaling in head and neck squamous cell carcinoma progression and chemoresistance.txt',Sitagliptin vs.txt,Impact of sunitinib resistance on clear cell renal cell carcinoma therapeutic sensitivity in vitro.txt,Role of hyaluronan-mediated CD44 signaling in head and neck squamous cell carcinoma progression and chemoresistance.txt
'Sensitizing methicillin-resistant Staphylococcus aureus (MRSA) to cefuroxime  the synergic effect of bicarbonate and the wall teichoic acid inhibitor ticlopidine.txt','Sensitizing methicillin-resistant Staphylococcus aureus (MRSA) to cefuroxime  the synergic effect of bicarbonate and the wall teichoic acid inhibitor ticlopidine.txt','The Allosteric Site for the Nascent Cell Wall in Penicillin-Binding Protein 2a  An Achilles' Heel of Methicillin-Resistant Staphylococcus aureus.txt',Sensitizing methicillin-resistant Staphylococcus aureus (MRSA) to cefuroxime  the synergic effect of bicarbonate and the wall teichoic acid inhibitor ticlopidine.txt,Sensitizing methicillin-resistant Staphylococcus aureus (MRSA) to cefuroxime  the synergic effect of bicarbonate and the wall teichoic acid inhibitor ticlopidine.txt,The Allosteric Site for the Nascent Cell Wall in Penicillin-Binding Protein 2a  An Achilles' Heel of Methicillin-Resistant Staphylococcus aureus.txt
 'Antibacterial activity of new oxazolidin-2-one analogues in methicillin-resistant Staphylococcus aureus strains.txt', 'In vitro synergism of a water insoluble fraction of Uncaria tomentosa combined with fluconazole and terbinafine against resistant non-Candida albicans isolates.txt', 'Modification of penicillin-binding proteins as mechanisms of beta-lactam resistance.txt',Antibacterial activity of new oxazolidin-2-one analogues in methicillin-resistant Staphylococcus aureus strains.txt,In vitro synergism of a water insoluble fraction of Uncaria tomentosa combined with fluconazole and terbinafine against resistant non-Candida albicans isolates.txt,Modification of penicillin-binding proteins as mechanisms of beta-lactam resistance.txt
 'In vitro synergism of a water insoluble fraction of Uncaria tomentosa combined with fluconazole and terbinafine against resistant non-Candida albicans isolates.txt', 'Targeted alpha-therapy using [Bi-213, 'Functional expression of P-glycoprotein in Saccharomyces cerevisiae confers cellular resistance to the immunosuppressive and antifungal agent FK520.txt',In vitro synergism of a water insoluble fraction of Uncaria tomentosa combined with fluconazole and terbinafine against resistant non-Candida albicans isolates.txt,Targeted therapies in melanoma.txt,Functional expression of P-glycoprotein in Saccharomyces cerevisiae confers cellular resistance to the immunosuppressive and antifungal agent FK520.txt
'Antibacterial activities of plant-derived xanthones.txt','Effects of Fullerenols on Mouse Brain Microvascular Endothelial Cells.txt','A rob-like gene of Enterobacter cloacae affecting porin synthesis and susceptibility to multiple antibiotics.txt',Antibacterial activities of plant-derived xanthones.txt,Effects of Fullerenols on Mouse Brain Microvascular Endothelial Cells.txt,A rob-like gene of Enterobacter cloacae affecting porin synthesis and susceptibility to multiple antibiotics.txt
 'Unbiased High-Throughput Drug Combination Pilot Screening Identifies Synergistic Drug Combinations Effective against Patient-Derived and Drug-Resistant Melanoma Cell Lines.txt', 'Concentration-dependent Mycobacterium tuberculosis killing and prevention of resistance by rifampin.txt', 'Subcellular distribution of ezrin radixin moesin and their roles in the cell surface localization and transport function of P-glycoprotein in human colon adenocarcinoma LS180 cells.txt',Unbiased High-Throughput Drug Combination Pilot Screening Identifies Synergistic Drug Combinations Effective against Patient-Derived and Drug-Resistant Melanoma Cell Lines.txt,Concentration-dependent Mycobacterium tuberculosis killing and prevention of resistance by rifampin.txt,Subcellular distribution of ezrin radixin moesin and their roles in the cell surface localization and transport function of P-glycoprotein in human colon adenocarcinoma LS180 cells.txt
 'Emerging drugs and vaccines for candidemia.txt', 'Bactericidal effect and pharmacodynamics of cethromycin (ABT-773) in a murine pneumococcal pneumonia model.txt', 'COT drives resistance to RAF inhibition through MAP kinase pathway reactivation.txt',Emerging drugs and vaccines for candidemia.txt,Bactericidal effect and pharmacodynamics of cethromycin (ABT-773) in a murine pneumococcal pneumonia model.txt,COT drives resistance to RAF inhibition through MAP kinase pathway reactivation.txt
 'Inhibition of hepatitis C virus in chimeric mice by short synthetic hairpin RNAs  sequence analysis of surviving virus shows added selective pressure of combination therapy.txt', 'Divarasib plus cetuximab in KRAS G12C-positive colorectal cancer  a phase 1b trial.txt', 'Phosphodiesterase 4D acts downstream of Neuropilin to control Hedgehog signal transduction and the growth of medulloblastoma.txt',Inhibition of hepatitis C virus in chimeric mice by short synthetic hairpin RNAs  sequence analysis of surviving virus shows added selective pressure of combination therapy.txt,Divarasib plus cetuximab in KRAS G12C-positive colorectal cancer  a phase 1b trial.txt,Phosphodiesterase 4D acts downstream of Neuropilin to control Hedgehog signal transduction and the growth of medulloblastoma.txt
 'Blocking the Notch signal transduction pathway promotes tumor growth in breast cancer by promoting the expression of suppressible inflammatory factors.txt', 'GW627368X inhibits proliferation and induces apoptosis in cervical cancer by interfering with EP4 EGFR interactive signaling.txt', 'LncRNA SNHG4 promotes prostate cancer cell survival and resistance to enzalutamide through a let-7a RREB1 positive feedback loop and a ceRNA network.txt',Blocking the Notch signal transduction pathway promotes tumor growth in breast cancer by promoting the expression of suppressible inflammatory factors.txt,GW627368X inhibits proliferation and induces apoptosis in cervical cancer by interfering with EP4 EGFR interactive signaling.txt,LncRNA SNHG4 promotes prostate cancer cell survival and resistance to enzalutamide through a let-7a RREB1 positive feedback loop and a ceRNA network.txt
'Designer Exosomes for Targeted Delivery of a Novel Therapeutic Cargo to Enhance Sorafenib-Mediated Ferroptosis in Hepatocellular Carcinoma.txt','Open-label trial on efficacy of artemether lumefantrine against the uncomplicated Plasmodium falciparum malaria in Metema district,'The Molecular Mechanisms of Actions,Designer Exosomes for Targeted Delivery of a Novel Therapeutic Cargo to Enhance Sorafenib-Mediated Ferroptosis in Hepatocellular Carcinoma.txt,"Open-label trial on efficacy of artemether lumefantrine against the uncomplicated Plasmodium falciparum malaria in Metema district, Northwestern Ethiopia.txt",Molecular Mechanisms of Muscle Fatigue.txt
 'ACA-28, Northwestern Ethiopia.txt', Effects,CCA-1.txt,Antimicrobial resistance of H.txt,Effects of I.txt
 an ERK MAPK Signaling Modulator, 'Cost-effectiveness of cetuximab and panitumumab for chemotherapy-refractory metastatic colorectal cancer.txt', and Clinical Implications of PARP Inhibitors in Epithelial Ovarian Cancers  A Systematic Review.txt',AKT GSK3β Signaling in Glioblastoma.txt,Cost-effectiveness of cetuximab and panitumumab for chemotherapy-refractory metastatic colorectal cancer.txt,"The Molecular Mechanisms of Actions, Effects, and Clinical Implications of PARP Inhibitors in Epithelial Ovarian Cancers  A Systematic Review.txt"
 Exerts Anticancer Activity through ROS Induction in Melanoma and Pancreatic Cancer Cells.txt', 'Vasodilator treatment for acute and chronic heart failure.txt', 'Immune Checkpoint Blockade Outcome in Small-Cell Lung Cancer and Its Relationship With Retinoblastoma Mutation Status and Function.txt',"ACA-28, an ERK MAPK Signaling Modulator, Exerts Anticancer Activity through ROS Induction in Melanoma and Pancreatic Cancer Cells.txt",Vasodilator treatment for acute and chronic heart failure.txt,Immune Checkpoint Blockade Outcome in Small-Cell Lung Cancer and Its Relationship With Retinoblastoma Mutation Status and Function.txt
 'Targeting Plasmodium PI(4)K to eliminate malaria.txt', 'Bromocriptine quick-release as adjunct therapy in youth and adults with type 1 diabetes  A randomized, 'Mechanisms and clinical implications in renal carcinoma resistance  narrative review of immune checkpoint inhibitors.txt',Targeting Plasmodium PI(4)K to eliminate malaria.txt,"Bromocriptine quick-release as adjunct therapy in youth and adults with type 1 diabetes  A randomized, placebo-controlled crossover study.txt",Mechanisms and clinical implications in renal carcinoma resistance  narrative review of immune checkpoint inhibitors.txt
 'Withaferin A Induces Cell Death Selectively in Androgen-Independent Prostate Cancer Cells but Not in Normal Fibroblast Cells.txt', placebo-controlled crossover study.txt', 'Tyrosine phosphorylation of the human glutathione S-transferase P1 by epidermal growth factor receptor.txt',Withaferin A Induces Cell Death Selectively in Androgen-Independent Prostate Cancer Cells but Not in Normal Fibroblast Cells.txt,Randomised controlled trial.txt,Tyrosine phosphorylation of the human glutathione S-transferase P1 by epidermal growth factor receptor.txt
 'Curcumin Synergistically Enhances the Cytotoxicity of Arsenic Trioxide in U266 Cells by Increasing Arsenic Uptake.txt', 'Evaluation of the autoSCAN-W A rapid system for identification and susceptibility testing of gram-negative fermentative bacilli.txt', 'Hepatocyte growth factor reduces sensitivity to the epidermal growth factor receptor-tyrosine kinase inhibitor,Curcumin Synergistically Enhances the Cytotoxicity of Arsenic Trioxide in U266 Cells by Increasing Arsenic Uptake.txt,Evaluation of the autoSCAN-W A rapid system for identification and susceptibility testing of gram-negative fermentative bacilli.txt,"Hepatocyte growth factor reduces sensitivity to the epidermal growth factor receptor-tyrosine kinase inhibitor, gefitinib, in lung adenocarcinoma cells harboring wild-type EGFR.txt"
'TWIST1-EP300 Expedites Gastric Cancer Cell Resistance to Apatinib by Activating the Expression of COL1A2.txt','Impact of azithromycin mass drug administration on the antibiotic-resistant gut microbiome in children  a randomized,'RNase III-CLASH of multi-drug resistant Staphylococcus aureus reveals a regulatory mRNA 3'UTR required for intermediate vancomycin resistance.txt',TWIST1-EP300 Expedites Gastric Cancer Cell Resistance to Apatinib by Activating the Expression of COL1A2.txt,"Impact of azithromycin mass drug administration on the antibiotic-resistant gut microbiome in children  a randomized, controlled trial.txt",RNase III-CLASH of multi-drug resistant Staphylococcus aureus reveals a regulatory mRNA 3'UTR required for intermediate vancomycin resistance.txt
